,Book,Author,Rating,Num. Ratings,index
0,To Kill a Mockingbird,Harper Lee,4.28,4533427,0
1,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,7109091,1
2,1984,George Orwell,4.19,3169749,2
3,Pride and Prejudice,Jane Austen,4.26,3022046,3
4,The Diary of a Young Girl,Anne Frank,4.15,2764109,4
5,Animal Farm,George Orwell,3.95,2762581,5
6,The Little Prince,Antoine de Saint-Exupéry,4.31,1379112,6
7,The Great Gatsby,F. Scott Fitzgerald,3.92,3800326,7
8,The Catcher in the Rye,J.D. Salinger,3.81,2752328,8
9,The Lord of the Rings,J.R.R. Tolkien,4.5,570574,9
10,The Book Thief,Markus Zusak,4.37,1848491,10
11,Jane Eyre,Charlotte Brontë,4.13,1634813,11
12,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.26,522703,12
13,Lord of the Flies,William Golding,3.69,2276218,13
14,Romeo and Juliet,William Shakespeare,3.75,2065396,14
15,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,2828555,15
16,The Kite Runner,Khaled Hosseini,4.3,2440802,16
17,"The Giver (The Giver, #1)",Lois Lowry,4.13,1799152,17
18,The Giving Tree,Shel Silverstein,4.37,911779,18
19,Charlotte's Web,E.B. White,4.18,1427817,19
20,Little Women,Louisa May Alcott,4.09,1692501,20
21,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,6416154,21
22,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.27,2916994,22
23,Of Mice and Men,John Steinbeck,3.88,1953065,23
24,Green Eggs and Ham,Dr. Seuss,4.3,621499,24
25,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,2833411,25
26,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,462200,26
27,Wuthering Heights,Emily Brontë,3.86,1351320,27
28,Fahrenheit 451,Ray Bradbury,3.99,1694076,28
29,Gone with the Wind,Margaret Mitchell,4.3,1079268,29
30,"Night  (The Night Trilogy, #1)",Elie Wiesel,4.34,976190,30
31,The Picture of Dorian Gray,Oscar Wilde,4.08,974739,31
32,Holy Bible: King James Version,Anonymous,4.41,222222,32
33,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,2616258,33
34,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1447925,34
35,Tolkien on Fairy-stories,J.R.R. Tolkien,4.3,2708,35
36,Hamlet,William Shakespeare,4.02,734648,36
37,The Adventures of Huckleberry Finn,Mark Twain,3.82,1155949,37
38,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,2457389,38
39,Les Misérables,Victor Hugo,4.18,686117,39
40,Brave New World / Brave New World Revisited,Aldous Huxley,4.17,141214,40
41,The Alchemist,Paulo Coelho,3.88,2124513,41
42,Crime and Punishment,Fyodor Dostoyevsky,4.22,632349,42
43,The Help,Kathryn Stockett,4.46,2178256,43
44,The Secret Garden,Frances Hodgson Burnett,4.13,898534,44
45,Memoirs of a Geisha,Arthur Golden,4.12,1724854,45
46,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22,2142001,46
47,The Odyssey,Homer,3.77,865917,47
48,A Christmas Carol,Charles Dickens,4.06,603496,48
49,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.17,431747,49
50,The Outsiders,S.E. Hinton,4.1,945666,50
51,The Color Purple,Alice Walker,4.22,524898,51
52,The Grapes of Wrath,John Steinbeck,3.97,754457,52
53,One Hundred Years of Solitude,Gabriel García Márquez,4.08,758787,53
54,A Thousand Splendid Suns,Khaled Hosseini,4.38,1159774,54
55,Where the Sidewalk Ends,Shel Silverstein,4.31,1183845,55
56,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.26,733799,56
57,Where the Wild Things Are,Maurice Sendak,4.22,822242,57
58,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,1139231,58
59,The Adventures of Tom Sawyer,Mark Twain,3.91,763089,59
60,A Tale of Two Cities,Charles Dickens,3.85,813625,60
61,The Count of Monte Cristo,Alexandre Dumas,4.26,750482,61
62,Life of Pi,Yann Martel,3.91,1346846,62
63,One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,634239,63
64,"Oh, the Places You'll Go!",Dr. Seuss,4.35,330764,64
65,Anna Karenina,Leo Tolstoy,4.05,667431,65
66,Flowers for Algernon,Daniel Keyes,4.14,482199,66
67,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.81,1172385,67
68,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.34,272574,68
69,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.11,1473370,69
70,Tuesdays with Morrie,Mitch Albom,4.11,787965,70
71,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.36,2368465,71
72,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,1135101,72
73,The Old Man and the Sea,Ernest Hemingway,3.78,837599,73
74,"Catch-22 (Catch-22, #1)",Joseph Heller,3.98,726641,74
75,The Scarlet Letter,Nathaniel Hawthorne,3.41,709754,75
76,Macbeth,William Shakespeare,3.9,678165,76
77,"Twilight (Twilight, #1)",Stephenie Meyer,3.6,4995907,77
78,Lolita,Vladimir Nabokov,3.89,667010,78
79,The Time Traveler's Wife,Audrey Niffenegger,3.98,1581318,79
